"","epsilon","mean","sd","skew","kurtosis","time","mean_autocor"
"138",7,0.00463945965493725,0.0134449850810607,0.0348213203578524,0.0409448980718179,6.58790111541748,0.0256055443136627
"139",7,0.00417506564267159,0.00350535876770219,0.0138715025762138,0.00118708318380145,6.57357692718506,0.032865263734313
"140",7,0.000713747801463441,0.000776908529048548,0.0157071577507868,0.0405107544237104,6.58870697021484,0.0276396569161156
"141",8,0.00227998052002318,0.00312231431681842,0.00451822023781552,0.0194851506703482,8.52913594245911,0.0295108770602959
"142",8,0.00220108687711515,0.00135548697698074,0.00732943360601116,0.0909327455443161,8.42111897468567,0.0285194972412625
"143",8,0.00499997433366286,0.0123698888742043,0.0239021777709712,0.0152749710748585,8.58767890930176,0.028956299266542
"144",8,0.00329861858408543,0.00300190652825005,0.0428182310661035,0.0639647143411626,8.51045107841492,0.0288642992074454
"145",8,0.00312812198387751,0.00498887586545926,0.00449252935942639,0.0418046046898843,8.98357582092285,0.0320975055457951
"146",8,0.0277229459641238,0.00268141198653526,0.0101740293809224,0.0602187143850998,8.66883206367493,0.0277492408265936
"147",8,0.016449837081826,0.0118531700303957,0.0575409046645638,0.0259402918090812,8.81008100509644,0.0263928423745952
"148",8,0.0190025712105829,0.00911460619275317,0.0162259051435124,0.0310165456785017,8.71477913856506,0.028593858265137
"149",8,0.0111640909225902,0.00276955488089903,0.0143646121838717,0.0170084590790021,9.0015561580658,0.0299276512302921
"150",8,0.000300702613494897,0.00723818266287402,0.0178195657599097,0.0109953821825441,8.6998610496521,0.027598572691407
"151",8,0.00819550247193849,0.0120495066379213,0.0768578388075292,0.00471393509669094,8.52422499656677,0.0300882742105086
"152",8,0.0132812485793987,0.0146191783287051,0.0155881425012689,0.0718793580222972,8.86368703842163,0.0257732739079431
"153",8,0.00882705802889782,0.000182447126286345,0.0248216573811801,0.0382312192060188,8.58965086936951,0.0278975915630397
"154",8,0.00246281254721969,0.00902078165464637,0.0329118947937834,0.0830186219519531,8.43890595436096,0.0271931710025782
"155",8,0.00024067455135622,0.00860592501897806,0.00356522761118657,0.00406641745035907,8.54495096206665,0.0281678640093138
"156",8,0.02069890636644,0.0137767290487324,0.00323453758780974,0.0208386457255689,8.70808887481689,0.0289540428353539
"157",8,0.00592363574949905,0.00116334031700949,0.0493028462567433,0.0620877149577437,8.44542813301086,0.0295382161317375
"158",8,0.0149088972868377,0.0026486252917437,0.028134389790745,0.0277726893294936,8.29483103752136,0.0263608820571291
"159",8,0.000441012489144157,0.000661113307089289,0.0237890422331877,0.0926515008696889,8.41751790046692,0.0272643742436208
"160",8,0.0101288957368045,0.0136673465286798,0.013937246043977,0.0661524084786977,8.4096348285675,0.0311333148901046
"161",9,0.00583178174295577,0.00141521486651053,0.000656997608346451,0.0331481705381065,10.7112939357758,0.0268861573669982
"162",9,0.0166183426035631,0.00758320254414846,0.00742018108459594,0.0351000494360183,10.6185300350189,0.0270202137300166
"163",9,0.0106274009111207,0.00277293926808597,0.0201721017499287,0.0770141011038135,10.7963390350342,0.0278807540490514
"164",9,0.0185969922712709,0.00518626919895193,0.00311351688896402,0.00578360635165076,11.4257280826569,0.0288706024576921
"165",9,0.0177387785049355,0.0137824214280626,0.00924905223824865,0.049718410074878,11.3782341480255,0.026345081324984
"166",9,0.00680116607709273,0.0120378607239451,0.0161305258755505,0.0283190070652264,11.1999931335449,0.0267763135825219
"167",9,0.00414974667276391,0.000741644093138483,0.0118577188451412,0.0418014528145298,11.0733020305634,0.0290517870470611
"168",9,0.0109343178518404,0.00778371234217401,0.054453590271169,0.0508485056639354,10.6731660366058,0.0279401453649038
"169",9,0.00378857294411619,0.000397260203047756,0.0123523871664034,0.0130166909105123,10.4365091323853,0.0311299866545353
"170",9,0.00648696958084082,0.00621582649100338,0.000466224602862803,0.09180253680716,10.5779790878296,0.0286594922034795
"171",9,0.000691088102288188,0.012326079436204,0.0324387561021427,0.0260236491365524,11.317703962326,0.027030043378832
"172",9,0.011868894106099,0.0209188351914632,0.0221569246917255,0.000260336931545702,12.4180209636688,0.0271004520165685
"173",9,0.00463188678810512,0.000351478036118791,0.0193220300526665,0.00155502186885714,10.7313470840454,0.0271736664288515
"174",9,0.0178346353409979,0.00239541736599591,0.0468930832467933,0.0782619474613955,10.5178830623627,0.0301866751120604
"175",9,0.00145716105002897,0.0152470822462378,0.00236581057832571,0.0606279341260256,10.7233099937439,0.0295496587084224
"176",9,0.0184195902135849,0.0061932615832373,0.00868817625022077,0.0327665652563294,10.9208168983459,0.0241478257375595
"177",9,0.00339820973819987,0.00242402715305845,0.0754250423984844,0.00430250971187718,10.8101079463959,0.0297144054229817
"178",9,0.00252558132846719,0.0200000174328379,0.00936519924143986,0.0817741719741112,10.8699188232422,0.0295280173154569
"179",9,0.00601805236702077,0.0233403297272594,0.00636597123908732,0.0233572979713412,10.833065032959,0.0251952848221073
"180",9,0.00118638571452389,0.00764302691751206,0.0293077100890456,0.0417010487502565,11.0876040458679,0.029321336056783
"181",10,0.00636800738610425,0.00206572457122567,0.0226759632653118,0.0582046746276776,13.6854219436646,0.0240087218843263
"182",10,0.00461196888338291,0.00731084529063497,0.0126793979175066,0.00353693258363696,13.4186248779297,0.023579622890972
"183",10,0.0083109807753172,0.00311063157180613,0.013824349524724,0.0575553219332856,13.1043870449066,0.0282086631588388
"184",10,0.0158634884210803,0.00855761142516309,0.0203831906654579,0.0472350644458408,13.3000020980835,0.0280724362269086
"185",10,0.0125952316640202,0.00515566003976886,0.00870845407232586,0.0145518768409043,13.6608591079712,0.0250403917254927
"186",10,0.00815479841752071,0.0024015870311237,0.0214187496579551,0.000810700586338697,13.5998241901398,0.025983530653703
"187",10,0.0187604179049869,0.0120741857080217,0.0134450553623714,0.00487074046207736,13.1089079380035,0.0267246768821835
"188",10,0.000360692071391574,0.00068235386152582,0.0066332943319695,0.00249850527173967,13.2763178348541,0.0274128491182822
"189",10,0.00265872286511917,0.00220487720801377,0.045244112421924,0.0416984594543055,13.7933359146118,0.0274342547097055
"190",10,0.000730519980209409,0.00137496014818306,0.0176428514226066,0.00400646338563959,13.2577271461487,0.0309082435551336
