"param_1","param_2","ratio_alpha_psi"
2.04754731244685,3.98369401616292,7
1.88327193311598,3.94214058811449,7
2.41510435671377,3.99116178436078,7
2.03407311525172,3.84991462166398,7
2.21060427984722,3.93338095524941,7
1.8937604589055,3.9838300847897,7
1.89862473251044,4.06294080239252,7
1.8398710465828,3.96545583018808,7
1.90486984133295,3.87155607778787,7
2.26111441498207,4.01015475550521,7
2.023550985341,4.29352862562737,7
2.25331855158286,4.0650500217969,7
1.3084503093216,3.90183846293967,7
1.59210970760906,4.13385620752233,7
2.29786641471044,4.01455210972295,7
2.20295508893812,3.83585788080661,7
2.07712168611179,3.90885934724647,7
1.9261109318235,3.99369735791115,7
2.22385444151126,3.95271219245058,7
1.78107490390813,4.00299447965317,7
1.38764943777351,4.24290171029279,7
1.77477392584934,3.95059866789507,7
1.7109592259496,3.90175709629493,7
1.63571053373162,3.98070322822314,7
1.91362134073032,4.11500274687753,7
2.20162250528557,3.96038103011197,7
2.00213423012497,3.92036349694013,7
2.03803061849504,3.98156686709517,7
2.11035102025827,4.09068124644901,7
2.40353418919213,4.13634643809617,7
1.89899213001621,4.10476420524281,7
1.86308271746596,3.97358428327568,7
1.95303300280639,4.02932797607691,7
1.8293500933738,3.92730572962319,7
2.04751201529758,4.1055227237483,7
1.83287114555861,3.96751395089523,7
2.21616183315246,4.00171929547569,7
1.71962810248942,3.79632015489002,7
2.11869723768287,4.08469876484196,7
2.15209361088406,3.94699600159434,7
2.42294039115853,3.97506100963454,7
