"","param_1","param_2","ratio_alpha_psi"
"105",1.93814176793836,4.03598452367301,"3"
"106",2.4303779472311,3.85246867675128,"3"
"107",2.00755059261538,4.08831419868693,"3"
"108",1.3081353763685,3.889349459182,"3"
"109",1.36537886537845,4.47074520866154,"3"
"110",1.66414116139418,3.88749576566793,"3"
"111",1.72069038444175,3.78844348551231,"3"
"112",2.29030428795279,3.93581521965239,"3"
"113",2.07892436925577,3.92406349559788,"3"
"114",2.61598590570194,3.79436889796143,"3"
"115",2.14875455920156,3.72819040022259,"3"
"116",0.703220774723895,4.25561062312653,"3"
"117",1.82588321158547,4.23705403972999,"3"
"118",2.76581463294844,3.98686843732476,"3"
"119",2.60563761106462,4.24083891378298,"3"
"120",1.89813514866487,4.39296944265754,"3"
"121",1.18429107488719,4.01442757276509,"3"
"122",2.06884060246303,4.165135513938,"3"
"123",1.02503977870588,4.00167884366506,"3"
"124",1.58922971928242,3.8536771497902,"3"
"125",1.37908301243697,4.27887585429598,"3"
"126",1.97719232698415,3.91006334581221,"3"
"127",2.15834892409191,3.92849664643426,"3"
"128",1.325391107412,4.14172855126235,"3"
"129",2.14988580020968,3.94449533548355,"3"
"130",1.73565087912503,3.73651201307584,"3"
"131",1.81641739519546,4.03955309250159,"3"
"132",2.53263663856132,4.05314063103842,"3"
"133",2.37690644987161,4.04911886284826,"3"
"134",2.36408076094104,4.21500316409856,"3"
"135",1.4818684860883,3.90410279327071,"3"
"136",1.89396905377271,4.26984644004569,"3"
"137",2.11444260880811,3.62513640861564,"3"
"138",1.87264435007674,3.83841523509618,"3"
"139",1.71273597349773,3.88086837126411,"3"
"140",1.8420275276827,4.00042668459191,"3"
"141",0.789767399796622,3.83570758006718,"3"
"142",2.27000219447096,4.05141135506524,"3"
"143",3.52105214913584,4.0812559939774,"3"
"144",2.16081243590162,4.26395252953808,"3"
"145",1.21570439307471,4.0171478131444,"3"
"146",2.00524724449206,4.24163007586322,"3"
"147",1.66358273412771,3.93209708723152,"3"
"148",2.03696900152691,3.8161904049658,"3"
"149",2.35391442749897,3.80295696260249,"3"
"150",2.14823688206013,4.15531706152613,"3"
"151",2.26627850909082,3.87231635215582,"3"
"152",2.30295056616755,3.89907455701679,"3"
"153",1.64393918276037,3.98998122770718,"3"
"154",2.46168803935296,4.18218038970868,"3"
"155",1.82164029402812,4.24561633819067,"3"
"156",2.00050486872788,3.81261201142916,"3"
"157",1.61710187069802,3.82613059065431,"3"
"158",2.1197100386261,4.07286924454302,"3"
"159",2.09335046124925,4.17331756386029,"3"
"160",1.86686827441973,4.16404612382158,"3"
"161",1.17128671731881,4.08249881732779,"3"
"162",2.38062630190652,3.75785801174965,"3"
"163",3.00925474605789,3.84905709606282,"3"
"164",1.95871402014,4.01027235592428,"3"
"165",2.44971379245225,3.79819529982747,"3"
"166",2.47559658900421,3.99509085828282,"3"
"167",2.23055154486729,4.22295893055734,"3"
"168",2.23863129806801,4.11863516210174,"3"
"169",2.65453828087077,4.26105195239455,"3"
"170",2.14761738076778,4.46499130742304,"3"
"171",-0.212014102477843,4.56839560520158,"3"
"172",1.80966679612248,4.2692401918197,"3"
"173",2.0505990146834,4.30233152909787,"3"
"174",2.71630434341589,3.98008522489329,"3"
"175",1.60587470373721,4.32245091811637,"3"
"176",1.84769608743009,3.98108436736584,"3"
"177",1.57300265963059,4.25124495983546,"3"
"178",1.44009715633729,4.25754116914323,"3"
"179",1.90243844900761,3.88607776582867,"3"
"180",1.89856168707084,4.20453209881344,"3"
"181",1.24137950612785,3.86810097242269,"3"
"182",2.34874038719517,3.8763352088809,"3"
"183",1.56358030957015,4.05957002281514,"3"
"184",1.93438940521483,4.02855897981026,"3"
"185",2.04872990446166,3.82225748067722,"3"
"186",2.5672918233139,3.87024015380243,"3"
"187",1.75299007707436,4.09320803189548,"3"
"188",1.71681454754144,3.9470341360342,"3"
"189",2.38093753588948,3.89416391717573,"3"
"190",2.5046451622815,3.87689611723024,"3"
"191",1.46904653914899,3.93368337545908,"3"
"192",1.66811458585117,4.05997582087284,"3"
"193",1.5667164829607,3.96785357299341,"3"
"194",2.04252639335392,3.87921335259234,"3"
"195",1.98112745184881,3.90745545681166,"3"
"196",1.81846638623175,4.11975859006561,"3"
"197",2.57382222296435,4.18509121540714,"3"
"198",2.03062288584727,3.87691104916701,"3"
"199",2.04825731967822,3.94879256962822,"3"
"200",2.65848948096336,4.09396784683107,"3"
"201",2.6840723132021,4.23966390365396,"5"
"202",1.91170834517689,3.93986780584674,"5"
"203",2.04073708274619,3.96193916451821,"5"
"204",1.98349386534874,4.05232103938679,"5"
"205",1.8857470518211,4.1954324652208,"5"
"206",1.95066577731246,4.00066610297186,"5"
"207",1.15786074343614,4.2173477454023,"5"
"208",0.07830639304194,3.97657628788386,"5"
"209",-0.605825841827755,4.98176320904387,"5"
"210",2.06396519692426,4.10954750166057,"5"
"211",2.6302053019292,4.10427951086619,"5"
"212",0.989056688361784,3.95159930991776,"5"
"213",1.53648328365962,4.21380989948666,"5"
"214",2.55267083232147,3.76109075487026,"5"
"215",2.75054086008813,4.04152198785752,"5"
"216",1.19439236540348,3.85017815884203,"5"
"217",1.82527195584753,3.84342666334287,"5"
"218",3.39414986082198,4.27414530278912,"5"
"219",3.08376872255457,3.43819551256101,"5"
"220",1.55920691716126,3.83299285572878,"5"
"221",2.20884530539189,4.04898192109395,"5"
"222",1.71541634092101,3.9360747111441,"5"
"223",1.85687515108439,3.91139266651299,"5"
